,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
113,4/24/2006,Monday,14,30,57,74,94,promotion
114,4/25/2006,Tuesday,49,43,103,63,84,promotion
115,4/26/2006,Wednesday,40,24,85,26,23,none
116,4/27/2006,Thursday,22,26,25,34,73,none
117,4/28/2006,Friday,10,21,93,35,50,promotion
118,4/29/2006,Saturday,1,45,47,38,72,promotion
119,4/30/2006,Sunday,11,9,112,18,65,promotion
120,5/1/2006,Monday,44,39,107,27,29,promotion
121,5/2/2006,Tuesday,24,23,15,51,70,none
122,5/3/2006,Wednesday,3,40,22,50,20,none
123,5/4/2006,Thursday,35,51,90,25,8,promotion
124,5/5/2006,Friday,36,54,85,68,61,promotion
125,5/6/2006,Saturday,31,16,56,25,60,none
126,5/7/2006,Sunday,4,5,97,30,39,none
127,5/8/2006,Monday,19,12,85,69,90,promotion
128,5/9/2006,Tuesday,47,27,105,74,6,promotion
129,5/10/2006,Wednesday,36,12,34,69,36,none
130,5/11/2006,Thursday,21,27,13,49,89,none
131,5/12/2006,Friday,18,13,98,38,11,none
132,5/13/2006,Saturday,28,29,72,67,61,promotion
133,5/14/2006,Sunday,15,1,10,56,74,none
134,5/15/2006,Monday,42,6,89,73,37,promotion
135,5/16/2006,Tuesday,2,58,15,46,59,none
136,5/17/2006,Wednesday,37,39,88,65,22,promotion
137,5/18/2006,Thursday,11,14,102,60,17,promotion
138,5/19/2006,Friday,23,23,6,70,46,none
139,5/20/2006,Saturday,44,25,47,13,81,promotion
140,5/21/2006,Sunday,41,27,106,60,7,promotion
141,5/22/2006,Monday,12,6,111,19,54,promotion
142,5/23/2006,Tuesday,3,19,5,28,42,none
143,5/24/2006,Wednesday,17,45,13,3,26,none
144,5/25/2006,Thursday,33,47,89,15,35,promotion
145,5/26/2006,Friday,1,29,82,7,68,none
146,5/27/2006,Saturday,39,4,79,61,23,promotion
147,5/28/2006,Sunday,20,24,56,5,94,none
148,5/29/2006,Monday,47,10,79,67,53,promotion
149,5/30/2006,Tuesday,43,52,82,67,25,promotion
150,5/31/2006,Wednesday,41,6,95,46,50,promotion
151,6/1/2006,Thursday,14,27,10,74,34,none
152,6/2/2006,Friday,31,34,38,25,89,promotion
153,6/3/2006,Saturday,25,2,2,19,39,none
154,6/4/2006,Sunday,3,33,52,15,76,none
155,6/5/2006,Monday,4,21,65,43,63,none
156,6/6/2006,Tuesday,31,58,112,33,36,promotion
157,6/7/2006,Wednesday,35,48,115,15,89,promotion
158,6/8/2006,Thursday,44,28,27,19,58,none
159,6/9/2006,Friday,14,43,12,31,8,none
160,6/10/2006,Saturday,49,13,40,56,12,none
161,6/11/2006,Sunday,41,32,42,46,1,none
162,6/12/2006,Monday,9,46,85,44,37,promotion
163,6/13/2006,Tuesday,20,28,26,23,6,none
164,6/14/2006,Wednesday,32,59,110,34,10,promotion
165,6/15/2006,Thursday,9,4,34,57,70,none
166,6/16/2006,Friday,27,52,115,6,43,promotion
167,6/17/2006,Saturday,3,21,52,21,15,none
168,6/18/2006,Sunday,4,11,119,10,87,promotion
169,6/19/2006,Monday,45,52,22,39,39,none
170,6/20/2006,Tuesday,15,10,55,18,34,none
171,6/21/2006,Wednesday,33,6,80,7,36,none
172,6/22/2006,Thursday,5,14,98,69,9,none
173,6/23/2006,Friday,4,41,113,3,96,promotion
174,6/24/2006,Saturday,46,18,1,19,3,none
175,6/25/2006,Sunday,12,59,12,57,56,none
176,6/26/2006,Monday,23,46,93,43,37,promotion
177,6/27/2006,Tuesday,14,26,34,32,61,none
178,6/28/2006,Wednesday,46,4,11,30,21,none
179,6/29/2006,Thursday,12,1,14,53,20,none
180,6/30/2006,Friday,17,55,86,51,31,promotion
181,7/1/2006,Saturday,25,15,11,60,74,none
182,7/2/2006,Sunday,30,53,104,51,21,promotion
183,7/3/2006,Monday,22,15,40,61,34,none
184,7/4/2006,Tuesday,47,24,33,36,99,promotion
185,7/5/2006,Wednesday,26,7,101,18,91,promotion
186,7/6/2006,Thursday,17,16,69,28,83,promotion
187,7/7/2006,Friday,20,6,36,34,51,none
188,7/8/2006,Saturday,34,55,73,14,36,promotion
189,7/9/2006,Sunday,41,1,88,6,63,none
190,7/10/2006,Monday,33,40,88,42,75,promotion
191,7/11/2006,Tuesday,37,8,78,54,76,promotion
192,7/12/2006,Wednesday,7,18,101,3,70,none
193,7/13/2006,Thursday,22,33,83,74,59,promotion
194,7/14/2006,Friday,32,59,64,64,93,promotion
195,7/15/2006,Saturday,14,30,47,4,76,none
196,7/16/2006,Sunday,8,32,99,62,55,promotion
197,7/17/2006,Monday,25,16,83,65,81,promotion
198,7/18/2006,Tuesday,16,12,21,45,36,none
199,7/19/2006,Wednesday,42,44,27,31,85,promotion
200,7/20/2006,Thursday,19,32,29,50,99,promotion
201,7/21/2006,Friday,41,19,13,56,77,promotion
202,7/22/2006,Saturday,16,44,18,36,4,none
203,7/23/2006,Sunday,12,39,3,65,62,none
204,7/24/2006,Monday,39,23,117,1,39,promotion
205,7/25/2006,Tuesday,48,8,37,65,72,promotion
206,7/26/2006,Wednesday,30,53,75,61,12,promotion
207,7/27/2006,Thursday,2,36,35,73,86,promotion
208,7/28/2006,Friday,32,20,40,9,86,none
209,7/29/2006,Saturday,45,6,11,2,79,none
210,7/30/2006,Sunday,25,50,52,66,12,promotion
211,7/31/2006,Monday,25,1,3,3,2,none
212,8/1/2006,Tuesday,4,44,66,16,13,none
213,8/2/2006,Wednesday,19,2,24,22,43,none
214,8/3/2006,Thursday,48,51,1,47,24,none
215,8/4/2006,Friday,4,54,75,3,70,promotion
216,8/5/2006,Saturday,43,59,69,27,49,promotion
217,8/6/2006,Sunday,13,15,21,72,38,none
218,8/7/2006,Monday,39,53,58,14,13,none
219,8/8/2006,Tuesday,36,58,6,5,52,none
220,8/9/2006,Wednesday,23,19,108,43,83,promotion
221,8/10/2006,Thursday,6,42,101,71,25,promotion
222,8/11/2006,Friday,24,7,111,43,21,promotion
223,8/12/2006,Saturday,44,37,4,63,17,none
224,8/13/2006,Sunday,33,44,110,45,16,promotion
225,8/14/2006,Monday,12,50,14,56,15,none
226,8/15/2006,Tuesday,41,33,95,24,37,promotion
227,8/16/2006,Wednesday,21,12,44,42,88,promotion
228,8/17/2006,Thursday,11,24,3,15,36,none
229,8/18/2006,Friday,44,25,34,26,21,none
230,8/19/2006,Saturday,38,51,28,15,55,none
231,8/20/2006,Sunday,29,9,6,32,11,none
232,8/21/2006,Monday,48,54,52,9,72,promotion
233,8/22/2006,Tuesday,41,20,78,23,62,promotion
234,8/23/2006,Wednesday,3,3,38,4,40,none
235,8/24/2006,Thursday,28,51,24,4,22,none
236,8/25/2006,Friday,20,29,16,46,66,none
237,8/26/2006,Saturday,26,39,75,40,11,none
238,8/27/2006,Sunday,24,57,93,2,94,promotion
239,8/28/2006,Monday,47,47,36,69,28,promotion
240,8/29/2006,Tuesday,21,44,25,43,53,none
241,8/30/2006,Wednesday,30,34,95,17,33,promotion
242,8/31/2006,Thursday,4,53,62,17,8,none
243,9/1/2006,Friday,36,14,54,34,39,none
244,9/2/2006,Saturday,40,46,109,1,47,promotion
245,9/3/2006,Sunday,10,34,88,68,55,promotion
246,9/4/2006,Monday,10,11,9,1,23,none
247,9/5/2006,Tuesday,42,52,30,6,21,none
248,9/6/2006,Wednesday,24,24,95,74,69,promotion
249,9/7/2006,Thursday,4,14,100,62,87,promotion
250,9/8/2006,Friday,47,52,75,67,33,promotion
251,9/9/2006,Saturday,27,47,111,50,65,promotion
252,9/10/2006,Sunday,45,31,26,11,84,none
253,9/11/2006,Monday,4,1,6,28,17,none
254,9/12/2006,Tuesday,32,44,110,59,44,promotion
255,9/13/2006,Wednesday,10,8,6,43,74,none
256,9/14/2006,Thursday,11,4,101,45,68,promotion
257,9/15/2006,Friday,28,47,31,39,81,promotion
258,9/16/2006,Saturday,46,1,4,13,80,none
259,9/17/2006,Sunday,8,32,12,11,82,none
260,9/18/2006,Monday,40,9,58,33,77,promotion
261,9/19/2006,Tuesday,22,4,28,16,35,none
262,9/20/2006,Wednesday,34,12,105,49,44,promotion
263,9/21/2006,Thursday,45,24,1,48,57,none
264,9/22/2006,Friday,35,21,92,31,25,promotion
265,9/23/2006,Saturday,35,2,12,23,65,none
266,9/24/2006,Sunday,25,7,37,52,49,none
267,9/25/2006,Monday,34,47,67,50,33,promotion
268,9/26/2006,Tuesday,6,5,22,41,9,none
269,9/27/2006,Wednesday,41,43,74,13,16,none
270,9/28/2006,Thursday,37,36,95,53,35,promotion
271,9/29/2006,Friday,1,48,59,13,25,none
272,9/30/2006,Saturday,12,23,28,29,85,none
273,10/1/2006,Sunday,35,31,19,52,45,none
274,10/2/2006,Monday,6,39,118,44,88,promotion
275,10/3/2006,Tuesday,17,12,111,44,48,promotion
276,10/4/2006,Wednesday,9,53,50,43,83,promotion
277,10/5/2006,Thursday,2,35,58,71,6,none
278,10/6/2006,Friday,18,56,89,55,54,promotion
279,10/7/2006,Saturday,49,4,41,25,67,none
280,10/8/2006,Sunday,36,50,52,5,53,none
281,10/9/2006,Monday,28,43,23,61,22,none
282,10/10/2006,Tuesday,41,1,115,15,92,promotion
283,10/11/2006,Wednesday,37,7,30,55,76,promotion
284,10/12/2006,Thursday,49,34,54,51,77,promotion
285,10/13/2006,Friday,26,30,41,16,63,none
286,10/14/2006,Saturday,4,22,46,49,47,none
287,10/15/2006,Sunday,40,15,51,13,14,none
288,10/16/2006,Monday,36,53,54,25,27,none
289,10/17/2006,Tuesday,31,23,81,71,44,promotion
290,10/18/2006,Wednesday,30,28,104,8,98,promotion
291,10/19/2006,Thursday,34,4,12,10,42,none
292,10/20/2006,Friday,19,50,33,53,13,none
293,10/21/2006,Saturday,18,31,105,18,39,promotion
294,10/22/2006,Sunday,30,40,58,38,19,none
295,10/23/2006,Monday,21,47,28,56,42,none
296,10/24/2006,Tuesday,3,24,13,73,28,none
297,10/25/2006,Wednesday,6,25,79,22,6,none
298,10/26/2006,Thursday,38,44,51,18,61,promotion
299,10/27/2006,Friday,13,14,61,69,11,none
300,10/28/2006,Saturday,45,33,78,30,96,promotion
301,10/29/2006,Sunday,3,33,63,38,66,promotion
302,10/30/2006,Monday,48,51,53,26,27,promotion
303,10/31/2006,Tuesday,28,55,66,73,22,promotion
304,11/1/2006,Wednesday,22,50,61,12,24,none
305,11/2/2006,Thursday,40,26,32,17,54,none
306,11/3/2006,Friday,40,10,113,73,86,promotion
307,11/4/2006,Saturday,12,38,50,21,80,promotion
308,11/5/2006,Sunday,23,45,74,34,49,promotion
309,11/6/2006,Monday,31,18,106,26,37,promotion
310,11/7/2006,Tuesday,18,24,15,10,2,none
311,11/8/2006,Wednesday,7,36,80,26,56,promotion
312,11/9/2006,Thursday,8,58,12,69,87,promotion
313,11/10/2006,Friday,19,36,69,1,72,none
314,11/11/2006,Saturday,29,35,34,41,62,promotion
315,11/12/2006,Sunday,44,21,110,6,47,promotion
316,11/13/2006,Monday,20,6,57,25,74,none
317,11/14/2006,Tuesday,42,21,42,14,73,none
318,11/15/2006,Wednesday,30,7,28,67,13,none
319,11/16/2006,Thursday,47,9,51,3,61,none
320,11/17/2006,Friday,22,1,96,10,92,promotion
321,11/18/2006,Saturday,10,45,18,66,4,none
322,11/19/2006,Sunday,26,26,16,40,22,none
323,11/20/2006,Monday,33,39,39,66,78,promotion
324,11/21/2006,Tuesday,28,8,3,27,54,none
325,11/22/2006,Wednesday,10,10,86,42,39,none
326,11/23/2006,Thursday,29,59,36,8,59,none
327,11/24/2006,Friday,44,7,18,4,53,none
328,11/25/2006,Saturday,18,30,40,41,66,none
329,11/26/2006,Sunday,42,6,95,37,53,promotion
330,11/27/2006,Monday,1,37,64,46,81,promotion
331,11/28/2006,Tuesday,23,30,50,33,75,promotion
332,11/29/2006,Wednesday,17,40,10,46,14,none
333,11/30/2006,Thursday,43,20,26,47,9,none
334,12/1/2006,Friday,37,48,30,38,70,promotion
335,12/2/2006,Saturday,31,23,113,31,55,promotion
336,12/3/2006,Sunday,25,4,67,12,84,none
337,12/4/2006,Monday,4,8,113,42,51,promotion
338,12/5/2006,Tuesday,9,57,1,25,35,none
339,12/6/2006,Wednesday,28,30,50,43,96,promotion
340,12/7/2006,Thursday,30,21,90,41,39,promotion
341,12/8/2006,Friday,47,9,112,12,83,promotion
342,12/9/2006,Saturday,24,19,6,34,71,none
343,12/10/2006,Sunday,33,23,85,41,15,none
344,12/11/2006,Monday,20,23,14,46,32,none
345,12/12/2006,Tuesday,9,22,38,52,45,none
346,12/13/2006,Wednesday,8,47,85,21,33,none
347,12/14/2006,Thursday,24,40,108,21,32,promotion
348,12/15/2006,Friday,14,57,31,18,82,promotion
349,12/16/2006,Saturday,18,35,61,8,65,none
350,12/17/2006,Sunday,1,35,58,70,21,none
351,12/18/2006,Monday,12,17,3,73,11,none
352,12/19/2006,Tuesday,29,14,38,48,83,promotion
353,12/20/2006,Wednesday,37,29,53,36,36,none
354,12/21/2006,Thursday,26,57,23,51,96,promotion
355,12/22/2006,Friday,33,14,94,62,55,promotion
356,12/23/2006,Saturday,43,34,85,44,30,promotion
357,12/24/2006,Sunday,15,59,66,37,97,promotion
358,12/25/2006,Monday,23,27,42,31,45,none
359,12/26/2006,Tuesday,29,14,87,1,15,none
360,12/27/2006,Wednesday,21,58,55,27,81,promotion
361,12/28/2006,Thursday,19,11,72,6,33,none
362,12/29/2006,Friday,5,59,39,45,93,promotion
363,12/30/2006,Saturday,23,24,17,36,55,none
364,12/31/2006,Sunday,36,22,53,71,79,promotion
365,1/1/2007,Monday,20,28,93,25,40,promotion
366,1/2/2007,Tuesday,8,46,52,21,52,none
367,1/3/2007,Wednesday,9,56,110,21,58,promotion
368,1/4/2007,Thursday,14,22,88,45,25,none
369,1/5/2007,Friday,6,32,29,21,17,none
370,1/6/2007,Saturday,1,39,47,57,22,none
371,1/7/2007,Sunday,9,19,10,65,12,none
372,1/8/2007,Monday,16,28,42,48,38,none
373,1/9/2007,Tuesday,16,27,28,51,35,none
374,1/10/2007,Wednesday,12,24,16,28,34,none
375,1/11/2007,Thursday,5,8,27,42,23,none
376,1/12/2007,Friday,40,14,80,51,17,promotion
377,1/13/2007,Saturday,29,21,115,8,37,promotion
378,1/14/2007,Sunday,46,31,111,73,65,promotion
379,1/15/2007,Monday,27,36,15,33,27,none
380,1/16/2007,Tuesday,11,11,103,34,78,promotion
381,1/17/2007,Wednesday,47,36,17,58,90,promotion
382,1/18/2007,Thursday,28,6,30,26,79,none
383,1/19/2007,Friday,36,38,62,25,32,none
384,1/20/2007,Saturday,42,23,83,59,33,promotion
385,1/21/2007,Sunday,19,34,7,32,26,none
386,1/22/2007,Monday,35,19,56,65,8,none
387,1/23/2007,Tuesday,31,1,66,63,64,promotion
388,1/24/2007,Wednesday,44,32,82,68,77,promotion
389,1/25/2007,Thursday,19,45,1,38,17,none
390,1/26/2007,Friday,46,31,31,42,41,none
391,1/27/2007,Saturday,24,46,50,49,6,none
392,1/28/2007,Sunday,2,3,117,10,42,none
393,1/29/2007,Monday,7,22,63,62,46,none
394,1/30/2007,Tuesday,43,19,2,54,86,promotion
395,1/31/2007,Wednesday,49,17,76,46,27,promotion
396,2/1/2007,Thursday,31,36,32,25,74,none
397,2/2/2007,Friday,17,13,33,39,55,none
398,2/3/2007,Saturday,27,9,75,36,73,promotion
399,2/4/2007,Sunday,36,27,4,70,70,promotion
400,2/5/2007,Monday,43,36,62,39,93,promotion
401,2/6/2007,Tuesday,10,10,89,70,19,none
402,2/7/2007,Wednesday,45,32,13,26,29,none
403,2/8/2007,Thursday,14,45,27,16,37,none
404,2/9/2007,Friday,7,50,5,2,44,none
405,2/10/2007,Saturday,39,44,42,55,91,promotion
406,2/11/2007,Sunday,40,48,50,34,5,none
407,2/12/2007,Monday,9,1,79,72,69,promotion
408,2/13/2007,Tuesday,14,46,21,47,72,none
409,2/14/2007,Wednesday,8,55,60,57,57,promotion
410,2/15/2007,Thursday,17,21,43,12,67,none
411,2/16/2007,Friday,23,29,15,38,11,none
412,2/17/2007,Saturday,16,39,55,68,94,promotion
413,2/18/2007,Sunday,26,37,5,26,59,none
414,2/19/2007,Monday,9,31,60,5,9,none
415,2/20/2007,Tuesday,36,34,51,65,26,promotion
416,2/21/2007,Wednesday,7,36,88,25,39,none
417,2/22/2007,Thursday,18,42,117,7,17,promotion
418,2/23/2007,Friday,8,55,11,5,16,none
419,2/24/2007,Saturday,21,27,115,33,43,promotion
420,2/25/2007,Sunday,26,47,12,50,4,none
421,2/26/2007,Monday,3,19,86,60,55,promotion
422,2/27/2007,Tuesday,17,25,58,11,21,none
423,2/28/2007,Wednesday,46,25,67,68,31,promotion
424,3/1/2007,Thursday,24,15,63,15,91,promotion
425,3/2/2007,Friday,25,29,12,69,52,none
426,3/3/2007,Saturday,5,51,74,4,19,none
427,3/4/2007,Sunday,37,42,55,70,72,promotion
428,3/5/2007,Monday,45,20,54,57,29,promotion
429,3/6/2007,Tuesday,24,3,57,5,84,none
430,3/7/2007,Wednesday,31,43,31,29,31,none
431,3/8/2007,Thursday,26,50,108,2,66,promotion
432,3/9/2007,Friday,21,59,59,9,86,promotion
433,3/10/2007,Saturday,34,30,41,64,99,promotion
434,3/11/2007,Sunday,38,2,56,61,70,promotion
435,3/12/2007,Monday,24,22,109,10,69,promotion
436,3/13/2007,Tuesday,28,55,96,71,35,promotion
437,3/14/2007,Wednesday,30,18,89,20,55,promotion
438,3/15/2007,Thursday,34,56,9,21,91,promotion
439,3/16/2007,Friday,23,26,81,41,50,promotion
440,3/17/2007,Saturday,8,15,82,52,24,none
441,3/18/2007,Sunday,42,58,94,52,6,promotion
442,3/19/2007,Monday,10,23,94,22,31,none
443,3/20/2007,Tuesday,1,16,16,13,25,none
444,3/21/2007,Wednesday,20,51,58,29,34,none
445,3/22/2007,Thursday,37,19,8,47,29,none
446,3/23/2007,Friday,18,12,25,35,9,none
447,3/24/2007,Saturday,21,55,75,17,60,promotion
448,3/25/2007,Sunday,49,25,54,42,97,promotion
449,3/26/2007,Monday,4,6,51,40,90,none
450,3/27/2007,Tuesday,43,44,73,9,9,none
451,3/28/2007,Wednesday,2,7,41,58,10,none
452,3/29/2007,Thursday,21,42,75,14,27,none
453,3/30/2007,Friday,37,44,40,30,71,promotion
454,3/31/2007,Saturday,5,48,100,37,88,promotion
455,4/1/2007,Sunday,17,13,23,46,43,none
456,4/2/2007,Monday,49,13,45,26,32,none
457,4/3/2007,Tuesday,48,46,49,15,29,none
458,4/4/2007,Wednesday,11,38,54,7,80,none
459,4/5/2007,Thursday,46,19,1,41,69,none
460,4/6/2007,Friday,41,10,106,33,96,promotion
461,4/7/2007,Saturday,31,9,82,34,86,promotion
462,4/8/2007,Sunday,28,54,73,43,78,promotion
463,4/9/2007,Monday,44,41,116,26,25,promotion
464,4/10/2007,Tuesday,32,9,23,29,63,none
465,4/11/2007,Wednesday,21,1,76,36,61,none
466,4/12/2007,Thursday,7,33,94,36,97,promotion
467,4/13/2007,Friday,10,13,106,25,89,promotion
468,4/14/2007,Saturday,28,53,53,35,69,promotion
469,4/15/2007,Sunday,48,21,33,56,27,none
470,4/16/2007,Monday,36,58,47,31,54,promotion
471,4/17/2007,Tuesday,20,54,20,60,20,none
472,4/18/2007,Wednesday,13,51,116,1,67,promotion
473,4/19/2007,Thursday,19,16,118,17,86,promotion
474,4/20/2007,Friday,11,24,39,71,70,promotion
475,4/21/2007,Saturday,35,55,97,25,31,promotion
476,4/22/2007,Sunday,34,45,102,57,5,promotion
477,4/23/2007,Monday,44,18,48,32,27,none
478,4/24/2007,Tuesday,4,24,117,72,95,promotion
479,4/25/2007,Wednesday,13,10,48,25,16,none
480,4/26/2007,Thursday,37,46,74,3,12,none
481,4/27/2007,Friday,2,35,49,51,90,promotion
482,4/28/2007,Saturday,1,33,29,30,39,none
483,4/29/2007,Sunday,40,42,83,38,54,promotion
484,4/30/2007,Monday,25,7,107,65,74,promotion
485,5/1/2007,Tuesday,37,56,117,19,25,promotion
486,5/2/2007,Wednesday,36,28,22,73,90,promotion
487,5/3/2007,Thursday,6,36,31,7,55,none
488,5/4/2007,Friday,7,20,98,33,68,promotion
489,5/5/2007,Saturday,4,39,33,35,55,none
490,5/6/2007,Sunday,35,2,72,11,91,promotion
491,5/7/2007,Monday,41,34,103,65,35,promotion
492,5/8/2007,Tuesday,34,38,100,45,24,promotion
493,5/9/2007,Wednesday,29,34,25,59,96,promotion
494,5/10/2007,Thursday,5,34,66,31,67,promotion
495,5/11/2007,Friday,27,4,83,72,73,promotion
496,5/12/2007,Saturday,33,23,55,4,76,none
497,5/13/2007,Sunday,46,38,62,73,99,promotion
498,5/14/2007,Monday,10,59,1,12,74,none
499,5/15/2007,Tuesday,6,51,54,4,58,none
500,5/16/2007,Wednesday,34,34,85,25,59,promotion
501,5/17/2007,Thursday,8,4,65,64,78,promotion
502,5/18/2007,Friday,31,14,54,32,42,none
503,5/19/2007,Saturday,9,35,9,9,64,none
504,5/20/2007,Sunday,21,16,79,31,15,none
505,5/21/2007,Monday,8,44,39,39,8,none
506,5/22/2007,Tuesday,4,34,83,36,80,promotion
507,5/23/2007,Wednesday,22,31,3,57,36,none
508,5/24/2007,Thursday,28,42,4,30,55,none
509,5/25/2007,Friday,45,29,55,17,30,none
510,5/26/2007,Saturday,4,10,19,52,46,none
511,5/27/2007,Sunday,39,12,47,43,67,promotion
512,5/28/2007,Monday,21,26,115,32,57,promotion
513,5/29/2007,Tuesday,8,49,8,36,19,none
514,5/30/2007,Wednesday,20,58,7,67,97,promotion
515,5/31/2007,Thursday,32,10,1,67,76,none
